"Prenom.Nom","Nombre.de.Produits.Achetes","Montant.Depense..Franc.CFA.","Date.du.Dernier.Achat","Loyaute"
"Awa Thiam",13.5964250590153,47783.666425059,"2023-10-2","Haute"
"Awa Thiam",14.8714180052111,47784.9414180052,"2023-10-2","Haute"
"Ndeye Sall",20.6028703696938,47100.7128703697,"2023-12-7","Haute"
"Ndeye Sall",19.233831196119,47099.3438311961,"2023-12-7","Haute"
"Ndeye Sall",19.3796735129225,47099.4896735129,"2023-12-7","Haute"
"Mariama Kane",7.79019025059597,22109.4001902506,"2023-11-8","Basse"
"Mariama Kane",6.75802349017641,22108.3680234902,"2023-11-8","Basse"
"Mariama Kane",8.11748648122735,22109.7274864812,"2023-11-8","Basse"
"Rama Kane",21.1849306349973,15465.694930635,"2023-1-17","Basse"
"Rama Kane",21.6464748376474,15466.1564748376,"2023-1-17","Basse"
"Rama Kane",20.1929961858528,15464.7029961859,"2023-1-17","Basse"
"Astou Diop",5.60744644589833,46993.6174464459,"2023-5-28","Haute"
"Astou Diop",6.00705132333548,46994.0170513233,"2023-5-28","Haute"
"Astou Diop",3.50516455566161,46991.5151645557,"2023-5-28","Haute"
"Mariama Cisse",4.47913065616706,11595.4391306562,"2023-5-13","Basse"
"Mariama Cisse",6.62320252173066,11597.5832025217,"2023-5-13","Basse"
"Mariama Cisse",3.9299317706557,11594.8899317707,"2023-5-13","Basse"
"Astou Mbengue",2.02270363784347,28946.2527036378,"2023-12-11","Basse"
"Astou Mbengue",3.62856882280655,28947.8585688228,"2023-12-11","Basse"
"Astou Mbengue",2.91585952702095,28947.145859527,"2023-12-11","Basse"
"Awa Sall",9.38213160784884,30325.2921316079,"2023-10-15","Haute"
"Awa Sall",7.90658620108986,30323.8165862011,"2023-10-15","Haute"
"Awa Sall",8.24453603939248,30324.1545360394,"2023-10-15","Haute"
"Ndeye Ndiaye",11.7360070812185,20897.6660070812,"2023-9-17","Basse"
"Ndeye Ndiaye",11.2475373027816,20897.1775373028,"2023-9-17","Basse"
"Ndeye Ndiaye",12.4406920905282,20898.3706920905,"2023-9-17","Basse"
"Fatou Gueye",7.7225492338664,19002.8225492339,"2023-3-25","Basse"
"Fatou Gueye",10.1771920455567,19005.2771920456,"2023-3-25","Basse"
"Fatou Gueye",9.90250583418089,19005.0025058342,"2023-3-25","Basse"
"Fatou Kane",17.7386958232663,27645.1786958233,"2023-11-18","Basse"
"Fatou Kane",19.8374551456932,27647.2774551457,"2023-11-18","Basse"
"Fatou Kane",16.6517096923979,27644.0917096924,"2023-11-18","Basse"
"Aissatou Diop",14.6109711368171,36643.0409711368,"2023-8-11","Haute"
"Aissatou Diop",13.9521322577114,36642.3821322577,"2023-8-11","Haute"
"Aissatou Diop",11.6008022916775,36640.0308022917,"2023-8-11","Haute"
"Aissatou Thiam",1.98068104381181,12346.1606810438,"2023-4-22","Basse"
"Aissatou Thiam",1.91131454777435,12346.0913145478,"2023-4-22","Basse"
"Aissatou Thiam",0.404515101900984,12344.5845151019,"2023-4-22","Basse"
"Rama Mbengue",17.851709321069,31134.5917093211,"2023-5-6","Haute"
"Rama Mbengue",16.2864391941252,31133.0264391941,"2023-5-6","Haute"
"Rama Mbengue",18.0664303443792,31134.8064303444,"2023-5-6","Haute"
"Maimouna Cisse",15.4637574095487,41697.8937574095,"2023-6-22","Haute"
"Maimouna Cisse",16.5359170564365,41698.9659170564,"2023-6-22","Haute"
"Maimouna Cisse",14.1713733661239,41696.6013733661,"2023-6-22","Haute"
"Adja Kane",10.1864666441379,10504.7964666441,"2023-10-21","Basse"
"Adja Kane",13.3726137068586,10507.9826137069,"2023-10-21","Basse"
"Adja Kane",11.4357304592815,10506.0457304593,"2023-10-21","Basse"
"Ndeye Kane",9.68588724420516,22503.6258872442,"2023-4-7","Basse"
"Ndeye Kane",7.75831023226105,22501.6983102323,"2023-4-7","Basse"
"Ndeye Kane",7.53179952135952,22501.4717995214,"2023-4-7","Basse"
"Ndeye Cisse",17.9703112265515,33092.0503112266,"2023-7-18","Haute"
"Ndeye Cisse",16.9813660157993,33091.0613660158,"2023-7-18","Haute"
"Ndeye Cisse",17.3623703496001,33091.4423703496,"2023-7-18","Haute"
"Khady Thiam",18.0113055861341,17272.9813055861,"2023-8-17","Basse"
"Khady Thiam",14.8220325012829,17269.7920325013,"2023-8-17","Basse"
"Khady Thiam",15.2448295178048,17270.2148295178,"2023-8-17","Basse"
"Khady Cisse",1.66871551541468,42201.9087155154,"2023-9-16","Haute"
"Khady Cisse",1.71629730354993,42201.9562973035,"2023-9-16","Haute"
"Khady Cisse",2.31415290007167,42202.5541529001,"2023-9-16","Haute"
"Rama Fall",6.8448386710393,11812.004838671,"2023-2-1","Basse"
"Rama Fall",4.01808285058784,11809.1780828506,"2023-2-1","Basse"
"Rama Fall",7.19600376339007,11812.3560037634,"2023-2-1","Basse"
"Awa Fall",14.795332334936,46172.1653323349,"2023-10-9","Haute"
"Awa Fall",15.9751429364341,46173.3451429364,"2023-10-9","Haute"
"Awa Fall",14.1324338837526,46171.5024338838,"2023-10-9","Haute"
"Khady Mbengue",13.4988124082387,24146.3688124082,"2023-8-15","Basse"
"Khady Mbengue",14.7855911628703,24147.6555911629,"2023-8-15","Basse"
"Khady Mbengue",11.8977526764984,24144.7677526765,"2023-8-15","Basse"
"Mariama Mbengue",10.9577950702846,25187.5477950703,"2023-3-20","Basse"
"Mariama Mbengue",10.5951905865775,25187.1851905866,"2023-3-20","Basse"
"Mariama Mbengue",10.8872340335321,25187.4772340335,"2023-3-20","Basse"
"Aissatou Gueye",21.7971404406654,31335.5171404407,"2023-2-22","Haute"
"Aissatou Gueye",19.1896737420799,31332.9096737421,"2023-2-22","Haute"
"Aissatou Gueye",21.9009000737512,31335.6209000738,"2023-2-22","Haute"
"Khady Fall",11.7089544404657,43398.7189544405,"2023-12-13","Haute"
"Khady Fall",11.7361947745533,43398.7461947746,"2023-12-13","Haute"
"Khady Fall",12.3657765536621,43399.3757765537,"2023-12-13","Haute"
"Rama Ndiaye",10.4237361072435,45147.9037361072,"2023-2-19","Haute"
"Rama Ndiaye",10.1952676803639,45147.6752676804,"2023-2-19","Haute"
"Rama Ndiaye",10.4649341884618,45147.9449341885,"2023-2-19","Haute"
"Fatou Ndiaye",10.2270217718191,41411.0070217718,"2023-12-17","Haute"
"Fatou Ndiaye",13.1499193357556,41413.9299193358,"2023-12-17","Haute"
"Fatou Ndiaye",9.66564637179268,41410.4456463718,"2023-12-17","Haute"
"Mariama Mbengue",7.79154790942389,19369.9515479094,"2023-3-12","Basse"
"Mariama Mbengue",6.29239284913788,19368.4523928491,"2023-3-12","Basse"
"Mariama Mbengue",5.72445662801154,19367.884456628,"2023-3-12","Basse"
"Maimouna Faye",18.3754644612331,33559.4754644612,"2023-1-21","Haute"
"Maimouna Faye",14.9064102516879,33556.0064102517,"2023-1-21","Haute"
"Maimouna Faye",16.192441582224,33557.2924415822,"2023-1-21","Haute"
"Astou Ndiaye",18.8738396186203,28611.8938396186,"2023-2-15","Basse"
"Astou Ndiaye",17.6115678601256,28610.6315678601,"2023-2-15","Basse"
"Astou Ndiaye",19.4699021916206,28612.4899021916,"2023-2-15","Basse"
"Astou Ndiaye",4.9603823572009,5630.6003823572,"2023-9-13","Basse"
"Astou Ndiaye",3.99485871161696,5629.63485871162,"2023-9-13","Basse"
"Astou Ndiaye",3.12953555823546,5628.76953555824,"2023-9-13","Basse"
"Maimouna Ndiaye",6.53712095973059,33723.8771209597,"2023-6-19","Haute"
"Maimouna Ndiaye",5.08884874491891,33722.4288487449,"2023-6-19","Haute"
"Maimouna Ndiaye",7.36981604371354,33724.7098160437,"2023-6-19","Haute"
"Khady Sall",10.5377119427186,48131.1577119427,"2023-4-7","Haute"
"Khady Sall",11.3219558918166,48131.9419558918,"2023-4-7","Haute"
"Khady Sall",10.7159986100709,48131.3359986101,"2023-4-7","Haute"
"Mariama Kane",13.0918564434568,14205.9618564435,"2023-7-22","Basse"
"Mariama Kane",12.1602163627457,14205.0302163627,"2023-7-22","Basse"
"Mariama Kane",14.7081682844054,14207.5781682844,"2023-7-22","Basse"
"Adja Faye",17.2862899294142,34889.1762899294,"2023-10-8","Haute"
"Adja Faye",16.9674897491699,34888.8574897492,"2023-10-8","Haute"
"Adja Faye",16.0103219808935,34887.9003219809,"2023-10-8","Haute"
"Rama Mbengue",16.2118099280885,44347.0318099281,"2023-9-9","Haute"
"Rama Mbengue",15.0279824662686,44345.8479824663,"2023-9-9","Haute"
"Rama Mbengue",16.5492240139577,44347.369224014,"2023-9-9","Haute"
"Fatou Fall",14.9509784699883,37508.26097847,"2023-8-26","Haute"
"Fatou Fall",16.4491339347604,37509.7591339348,"2023-8-26","Haute"
"Fatou Fall",15.6141443474573,37508.9241443475,"2023-8-26","Haute"
"Ndeye Mbengue",4.49587047999716,33811.28587048,"2023-7-7","Haute"
"Ndeye Mbengue",5.23397624015726,33812.0239762402,"2023-7-7","Haute"
"Ndeye Mbengue",4.63436212480624,33811.4243621248,"2023-7-7","Haute"
"Maimouna Faye",11.4298644770182,7591.80986447702,"2023-8-4","Basse"
"Maimouna Faye",14.226942601066,7594.60694260107,"2023-8-4","Basse"
"Maimouna Faye",13.6666943955569,7594.04669439556,"2023-8-4","Basse"
"Fatou Mbengue",11.8483968369552,21107.528396837,"2023-10-26","Basse"
"Fatou Mbengue",12.8392115168106,21108.5192115168,"2023-10-26","Basse"
"Fatou Mbengue",12.0270862241142,21107.7070862241,"2023-10-26","Basse"
"Fatou Gueye",14.3895383406724,41253.7895383407,"2023-9-1","Haute"
"Fatou Gueye",15.4992768756199,41254.8992768756,"2023-9-1","Haute"
"Fatou Gueye",15.8793641391858,41255.2793641392,"2023-9-1","Haute"
"Awa Fall",8.92312923936545,19987.3331292394,"2023-1-17","Basse"
"Awa Fall",8.69313397191101,19987.1031339719,"2023-1-17","Basse"
"Awa Fall",7.86049967543824,19986.2704996754,"2023-1-17","Basse"
"Rama Fall",12.6893212734374,48337.4893212734,"2023-2-10","Haute"
"Rama Fall",16.5384657991128,48341.3384657991,"2023-2-10","Haute"
"Rama Fall",16.8924858665045,48341.6924858665,"2023-2-10","Haute"
"Mariama Gueye",2.48946203621341,48856.5194620362,"2023-12-27","Haute"
"Mariama Gueye",0.803648253434705,48854.8336482534,"2023-12-27","Haute"
"Mariama Gueye",2.46273785324767,48856.4927378532,"2023-12-27","Haute"
"Astou Faye",3.97170357632625,42397.6717035763,"2023-5-21","Haute"
"Astou Faye",1.52784103553533,42395.2278410355,"2023-5-21","Haute"
"Astou Faye",3.52896494089947,42397.2289649409,"2023-5-21","Haute"
"Awa Faye",12.4544003526128,37386.0544003526,"2023-7-4","Haute"
"Awa Faye",8.35065452040841,37381.9506545204,"2023-7-4","Haute"
"Awa Faye",10.7958051550136,37384.395805155,"2023-7-4","Haute"
"Khady Gueye",10.6587068330124,22733.508706833,"2023-9-14","Basse"
"Khady Gueye",9.59474620028356,22732.4447462003,"2023-9-14","Basse"
"Khady Gueye",10.0770391849284,22732.9270391849,"2023-9-14","Basse"
"Fatou Faye",20.0098981295589,9302.56989812956,"2023-4-17","Basse"
"Fatou Faye",19.5911402263009,9302.1511402263,"2023-4-17","Basse"
"Fatou Faye",18.6117547112003,9301.1717547112,"2023-4-17","Basse"
"Aissatou Sall",2.41202227475848,7667.83202227476,"2023-5-17","Basse"
"Aissatou Sall",2.79358530767872,7668.21358530768,"2023-5-17","Basse"
"Aissatou Sall",1.84758936693524,7667.26758936694,"2023-5-17","Basse"
"Ndeye Diop",10.7354047615205,11126.3654047615,"2023-5-18","Basse"
"Ndeye Diop",10.0527017210167,11125.682701721,"2023-5-18","Basse"
"Ndeye Diop",11.7395213279616,11127.369521328,"2023-5-18","Basse"
"Fatou Ndiaye",13.8967787085672,43050.5067787086,"2023-9-20","Haute"
"Fatou Ndiaye",12.6539991128892,43049.2639991129,"2023-9-20","Haute"
"Fatou Ndiaye",11.2179429315314,43047.8279429315,"2023-9-20","Haute"
"Khady Ndiaye",16.4649417530758,30962.9449417531,"2023-6-12","Haute"
"Khady Ndiaye",14.0489693902529,30960.5289693903,"2023-6-12","Haute"
"Khady Ndiaye",15.483886659537,30961.9638866595,"2023-6-12","Haute"
"Maimouna Cisse",5.48908031752996,16447.4990803175,"2023-7-28","Basse"
"Maimouna Cisse",5.9020247262176,16447.9120247262,"2023-7-28","Basse"
"Maimouna Cisse",5.64036299484778,16447.6503629948,"2023-7-28","Basse"
"Rama Thiam",16.951208878946,23953.4212088789,"2023-5-14","Basse"
"Rama Thiam",15.4008767900664,23951.8708767901,"2023-5-14","Basse"
"Rama Thiam",14.6693050071882,23951.1393050072,"2023-5-14","Basse"
"Awa Cisse",13.407790254129,39590.6877902541,"2023-8-24","Haute"
"Awa Cisse",15.8010508559089,39593.0810508559,"2023-8-24","Haute"
"Awa Cisse",15.0553385910436,39592.335338591,"2023-8-24","Haute"
"Khady Faye",2.70807924308265,11380.8380792431,"2023-1-7","Basse"
"Khady Faye",2.17589062380489,11380.3058906238,"2023-1-7","Basse"
"Khady Faye",4.21625023852094,11382.3462502385,"2023-1-7","Basse"
"Adja Ndiaye",5.21972840450965,16017.3897284045,"2023-3-7","Basse"
"Adja Ndiaye",5.07499952694127,16017.2449995269,"2023-3-7","Basse"
"Adja Ndiaye",2.85958151615009,16015.0295815161,"2023-3-7","Basse"
"Astou Diop",3.47097223651645,38506.7509722365,"2023-8-20","Haute"
"Astou Diop",1.16223239380772,38504.4422323938,"2023-8-20","Haute"
"Astou Diop",2.39550986785137,38505.6755098678,"2023-8-20","Haute"
"Awa Mbengue",9.88642167665807,7944.02642167666,"2023-10-20","Basse"
"Awa Mbengue",10.2010425517786,7944.34104255178,"2023-10-20","Basse"
"Awa Mbengue",10.3168056812934,7944.45680568129,"2023-10-20","Basse"
"Adja Kane",15.7711041848692,6546.52110418487,"2023-9-5","Basse"
"Adja Kane",15.0992082494195,6545.84920824942,"2023-9-5","Basse"
"Adja Kane",15.2649738442157,6546.01497384422,"2023-9-5","Basse"
"Mariama Diop",1.8069595818342,43559.1469595818,"2023-9-19","Haute"
"Mariama Diop",2.55057624931952,43559.8905762493,"2023-9-19","Haute"
"Mariama Diop",-0.0887729437758784,43557.2512270562,"2023-9-19","Haute"
"Mariama Ndiaye",13.9750902064732,44713.4250902065,"2023-12-15","Haute"
"Mariama Ndiaye",14.8884576514004,44714.3384576514,"2023-12-15","Haute"
"Mariama Ndiaye",13.6625688486663,44713.1125688487,"2023-12-15","Haute"
"Khady Cisse",10.9692889453433,46202.0492889453,"2023-3-2","Haute"
"Khady Cisse",12.4308331722316,46203.5108331722,"2023-3-2","Haute"
"Khady Cisse",12.2089074018195,46203.2889074018,"2023-3-2","Haute"
"Khady Mbengue",6.45175974293125,26029.7717597429,"2023-6-13","Basse"
"Khady Mbengue",6.82619778152632,26030.1461977815,"2023-6-13","Basse"
"Khady Mbengue",9.17881520434786,26032.4988152043,"2023-6-13","Basse"
"Awa Gueye",9.5806905577597,47768.2606905578,"2023-9-28","Haute"
"Awa Gueye",8.14742470031812,47766.8274247003,"2023-9-28","Haute"
"Awa Gueye",10.4859264735169,47769.1659264735,"2023-9-28","Haute"
"Rama Mbengue",11.5280874067197,43006.0580874067,"2023-9-10","Haute"
"Rama Mbengue",12.8467385910487,43007.376738591,"2023-9-10","Haute"
"Rama Mbengue",12.9257705920311,43007.455770592,"2023-9-10","Haute"
"Aissatou Ndiaye",13.6791694190601,11324.0991694191,"2023-1-1","Basse"
"Aissatou Ndiaye",12.6990263663531,11323.1190263664,"2023-1-1","Basse"
"Aissatou Ndiaye",16.4595680103215,11326.8795680103,"2023-1-1","Basse"
"Astou Ndiaye",12.7783650037568,45969.9883650038,"2023-1-14","Haute"
"Astou Ndiaye",12.6898809126129,45969.8998809126,"2023-1-14","Haute"
"Astou Ndiaye",10.2955344511942,45967.5055344512,"2023-1-14","Haute"
"Aissatou Fall",4.10537213468354,37875.5953721347,"2023-10-12","Haute"
"Aissatou Fall",2.68614718531409,37874.1761471853,"2023-10-12","Haute"
"Aissatou Fall",2.65330725452128,37874.1433072545,"2023-10-12","Haute"
"Awa Cisse",2.0384404772982,42886.1884404773,"2023-8-23","Haute"
"Awa Cisse",0.488435146038808,42884.638435146,"2023-8-23","Haute"
"Awa Cisse",2.01452824968828,42886.1645282497,"2023-8-23","Haute"
"Adja Thiam",12.5723142164066,25920.6723142164,"2023-6-27","Basse"
"Adja Thiam",14.6192835348494,25922.7192835348,"2023-6-27","Basse"
"Adja Thiam",13.9938017377304,25922.0938017377,"2023-6-27","Basse"
"Fatou Gueye",5.61169937767339,36626.8716993777,"2023-4-15","Haute"
"Fatou Gueye",4.22774998665953,36625.4877499867,"2023-4-15","Haute"
"Fatou Gueye",5.68091558238706,36626.9409155824,"2023-4-15","Haute"
"Fatou Thiam",4.79241652235435,13073.8224165224,"2023-12-22","Basse"
"Fatou Thiam",5.83742650727931,13074.8674265073,"2023-12-22","Basse"
"Fatou Thiam",4.70812628407127,13073.7381262841,"2023-12-22","Basse"
"Khady Thiam",10.3206010802253,17796.8206010802,"2023-4-8","Basse"
"Khady Thiam",8.63022423913735,17795.1302242391,"2023-4-8","Basse"
"Khady Thiam",10.2912296582602,17796.7912296583,"2023-4-8","Basse"
"Mariama Cisse",5.38554546858176,18134.0155454686,"2023-1-21","Basse"
"Mariama Cisse",4.16904523565274,18132.7990452357,"2023-1-21","Basse"
"Mariama Cisse",5.06892128417523,18133.6989212842,"2023-1-21","Basse"
"Mariama Kane",5.41411084078794,17985.0241108408,"2023-4-21","Basse"
"Mariama Kane",6.61614990802625,17986.226149908,"2023-4-21","Basse"
"Mariama Kane",7.86483441761273,17987.4748344176,"2023-4-21","Basse"
"Mariama Sall",4.56125034109427,17562.6912503411,"2023-3-15","Basse"
"Mariama Sall",2.56016294109639,17560.6901629411,"2023-3-15","Basse"
"Mariama Sall",2.99383385328769,17561.1238338533,"2023-3-15","Basse"
"Awa Ndiaye",6.05964497344589,36587.6196449734,"2023-11-28","Haute"
"Awa Ndiaye",7.05345133215378,36588.6134513322,"2023-11-28","Haute"
"Awa Ndiaye",6.42605450435831,36587.9860545044,"2023-11-28","Haute"
"Fatou Kane",17.2205488300756,16685.0705488301,"2023-7-25","Basse"
"Fatou Kane",16.1654842655117,16684.0154842655,"2023-7-25","Basse"
"Fatou Kane",16.869645837738,16684.7196458377,"2023-7-25","Basse"
"Ndeye Ndiaye",4.56732944178593,39664.9873294418,"2023-1-25","Haute"
"Ndeye Ndiaye",5.20846682002392,39665.62846682,"2023-1-25","Haute"
"Ndeye Ndiaye",4.12721964840282,39664.5472196484,"2023-1-25","Haute"
"Rama Ndiaye",2.04859045680888,26299.3185904568,"2023-11-8","Basse"
"Rama Ndiaye",2.33748556100168,26299.607485561,"2023-11-8","Basse"
"Rama Ndiaye",3.34459485438878,26300.6145948544,"2023-11-8","Basse"
